sq_mt_built,n_rooms,n_bathrooms,floor,rent_price,buy_price,buy_price_by_area,house_type_id,is_renewal_needed,is_new_development,built_year,has_central_heating,has_individual_heating,has_ac,has_fitted_wardrobes,has_lift,is_exterior,has_pool,has_terrace,has_storage_room,energy_certificate,has_parking,is_orientation_north,is_orientation_west,is_orientation_south,is_orientation_east,sq_mt_price_by_place
64.0,2,1,3,471,85000,1328,Pisos,False,False,1960.0,None,None,True,False,False,True,False,False,False,D,False,False,True,False,False,1308.89
70.0,3,1,4,666,129900,1856,Pisos,True,False,,None,None,False,True,True,True,False,True,False,en trámite,False,None,None,None,None,1796.68
94.0,2,2,1,722,144247,1535,Pisos,False,False,,False,True,False,True,True,True,False,False,True,no indicado,False,None,None,None,None,1617.18
64.0,2,1,,583,109900,1717,Pisos,False,False,1955.0,None,None,False,False,True,True,False,False,True,en trámite,False,False,False,True,False,1617.18
108.0,2,2,4,1094,260000,2407,Pisos,False,False,2003.0,None,None,True,True,True,True,True,False,True,en trámite,True,True,True,True,True,1827.79
126.0,4,2,3,901,195000,1548,Pisos,False,False,1981.0,False,True,False,False,False,True,False,True,False,en trámite,True,False,False,False,True,1617.18
120.0,5,2,1,884,190000,1583,Pisos,False,False,,False,True,True,True,False,True,True,True,True,F,True,False,False,True,False,1617.18
125.0,3,2,2,912,198500,1588,Pisos,False,False,,None,None,True,True,False,True,False,True,False,no indicado,False,False,False,True,False,1617.18
84.0,3,2,,954,212000,2524,Pisos,False,False,,None,None,True,True,True,True,True,False,True,F,True,None,None,None,None,2197.8
85.0,2,1,7,672,131400,1546,Pisos,True,False,1950.0,False,True,False,False,False,True,False,True,False,en trámite,False,False,True,False,False,1827.79
69.0,2,2,2,617,118000,1710,Pisos,True,False,1963.0,None,None,False,False,False,True,False,True,False,en trámite,False,None,None,None,None,1617.18
122.0,3,2,6,1058,246900,2024,Pisos,False,False,,None,None,True,True,True,None,True,False,True,E,True,None,None,None,None,2197.8
123.0,3,2,4,901,195000,1585,Pisos,False,False,1992.0,None,None,True,True,True,True,False,False,False,D,False,False,False,False,True,1827.79
109.0,3,2,3,933,205000,1881,Pisos,False,False,1983.0,None,None,False,True,True,True,False,True,True,E,False,False,False,True,False,1796.68
64.0,3,1,3,408,72000,1125,Pisos,False,False,1960.0,False,True,False,False,False,True,False,True,False,F,False,None,None,None,None,1308.89
